best.epoch,best.epoch_seconds,best.expected_signed_count_mae,best.expected_signed_count_mse,best.instance_acc,best.instance_auc,best.peak_cuda_mem_mb,best.rounded_signed_count_acc,best.rounded_signed_count_mae,best.rounded_signed_count_mse,best.train_mse,best.zero_expected_abs_error,best.zero_fraction,best.zero_rounded_signed_count_acc,config.bag_size_mean,config.bag_size_std,config.cancellation_heavy,config.dataset,config.dataset_root,config.objective,config.seed,config.target_digit,config.train_bags,run_dir,source
47,12.867827381938696,0.07147835195064545,0.041094936430454254,0.9951754212379456,0.998239565270794,1312.1728515625,0.9549999833106995,0.04600000008940697,0.04800000041723251,0.009955520623922349,0.061231713742017746,0.45100000500679016,0.9623059630393982,10,2.0,False,MNIST,data,mse,1,9,5000,runs/server4090_signed_mse_baseline/signed_mse_n10_train5000_random_s1/signed_mnist_baseline/mse/MNIST/20260507T022121Z_gpusystem_s1,results/server4090_signed_mse_baseline/signed_mse_n10_train5000_random_s1/signed_mnist_expected_mse_s1.json
50,1.3499386757612228,0.07072821259498596,0.04101509600877762,0.994874894618988,0.9984231038197828,1313.53271484375,0.949999988079071,0.050999999046325684,0.05299999937415123,0.010060983654856682,0.05425923317670822,0.44999998807907104,0.95333331823349,10,2.0,False,MNIST,data,mse,2,9,5000,runs/server4090_signed_mse_baseline/signed_mse_n10_train5000_random_s2/signed_mnist_baseline/mse/MNIST/20260507T022121Z_gpusystem_s2,results/server4090_signed_mse_baseline/signed_mse_n10_train5000_random_s2/signed_mnist_expected_mse_s2.json
50,1.149746846407652,0.3680804669857025,0.2643088698387146,0.9935472011566162,0.9984779096172907,5998.07080078125,0.7289999723434448,0.2849999964237213,0.31299999356269836,0.12400536382198334,0.37437009811401367,0.1889999955892563,0.7089946866035461,50,10.0,True,MNIST,data,mse,0,9,1000,runs/server4090_signed_mse_baseline/signed_mse_n50_train1000_cancel_s0/signed_mnist_baseline/mse/MNIST/20260507T021836Z_gpusystem_s0,results/server4090_signed_mse_baseline/signed_mse_n50_train1000_cancel_s0/signed_mnist_expected_mse_s0.json
49,0.9105493724346161,0.3885681629180908,0.30320271849632263,0.9928829669952393,0.9986364559025876,5998.07080078125,0.7200000286102295,0.3019999861717224,0.3479999899864197,0.13213355821371078,0.4168214797973633,0.1889999955892563,0.7037037014961243,50,10.0,True,MNIST,data,mse,1,9,1000,runs/server4090_signed_mse_baseline/signed_mse_n50_train1000_cancel_s1/signed_mnist_baseline/mse/MNIST/20260507T021836Z_gpusystem_s1,results/server4090_signed_mse_baseline/signed_mse_n50_train1000_cancel_s1/signed_mnist_expected_mse_s1.json
49,2.1161798909306526,0.4075790345668793,0.31953272223472595,0.9925422668457031,0.9979695024266529,5998.07080078125,0.6869999766349792,0.33399999141693115,0.37599998712539673,0.13661292374134062,0.42473411560058594,0.1889999955892563,0.6772486567497253,50,10.0,True,MNIST,data,mse,2,9,1000,runs/server4090_signed_mse_baseline/signed_mse_n50_train1000_cancel_s2/signed_mnist_baseline/mse/MNIST/20260507T021836Z_gpusystem_s2,results/server4090_signed_mse_baseline/signed_mse_n50_train1000_cancel_s2/signed_mnist_expected_mse_s2.json
49,3.2472564540803432,0.46938222646713257,0.3880309462547302,0.9912153482437134,0.9966803596506745,5998.07080078125,0.6269999742507935,0.3970000147819519,0.44699999690055847,0.34265935492515565,0.442324161529541,0.20499999821186066,0.6341463327407837,50,10.0,False,MNIST,data,mse,0,9,1000,runs/server4090_signed_mse_baseline/signed_mse_n50_train1000_random_s0/signed_mnist_baseline/mse/MNIST/20260507T021551Z_gpusystem_s0,results/server4090_signed_mse_baseline/signed_mse_n50_train1000_random_s0/signed_mnist_expected_mse_s0.json
50,4.695004466921091,0.4461614191532135,0.36574453115463257,0.9923401474952698,0.9964912265395941,5998.07080078125,0.6650000214576721,0.36000001430511475,0.41200000047683716,0.29212846302986145,0.42690229415893555,0.20499999821186066,0.6439024209976196,50,10.0,False,MNIST,data,mse,1,9,1000,runs/server4090_signed_mse_baseline/signed_mse_n50_train1000_random_s1/signed_mnist_baseline/mse/MNIST/20260507T021551Z_gpusystem_s1,results/server4090_signed_mse_baseline/signed_mse_n50_train1000_random_s1/signed_mnist_expected_mse_s1.json
50,0.958225280046463,0.4979105293750763,0.44019368290901184,0.9905521869659424,0.9934559269731625,5998.07080078125,0.6039999723434448,0.43700000643730164,0.5210000276565552,0.40515059423446653,0.4503628611564636,0.20399999618530273,0.6323529481887817,50,10.0,False,MNIST,data,mse,2,9,1000,runs/server4090_signed_mse_baseline/signed_mse_n50_train1000_random_s2/signed_mnist_baseline/mse/MNIST/20260507T021551Z_gpusystem_s2,results/server4090_signed_mse_baseline/signed_mse_n50_train1000_random_s2/signed_mnist_expected_mse_s2.json
44,13.880611415952444,0.2069108486175537,0.1434756964445114,0.996200680732727,0.9992514272791386,6451.9736328125,0.843999981880188,0.16200000047683716,0.17399999499320984,0.03247782047986984,0.23240287601947784,0.1889999955892563,0.8253968358039856,50,10.0,True,MNIST,data,mse,0,9,5000,runs/server4090_signed_mse_baseline/signed_mse_n50_train5000_cancel_s0/signed_mnist_baseline/mse/MNIST/20260507T025502Z_gpusystem_s0,results/server4090_signed_mse_baseline/signed_mse_n50_train5000_cancel_s0/signed_mnist_expected_mse_s0.json
44,12.003205586224794,0.23502251505851746,0.17516691982746124,0.9959992170333862,0.9997058628567185,6451.9736328125,0.8259999752044678,0.18299999833106995,0.20100000500679016,0.031913408718258145,0.27268657088279724,0.1889999955892563,0.7989417910575867,50,10.0,True,MNIST,data,mse,1,9,5000,runs/server4090_signed_mse_baseline/signed_mse_n50_train5000_cancel_s1/signed_mnist_baseline/mse/MNIST/20260507T025502Z_gpusystem_s1,results/server4090_signed_mse_baseline/signed_mse_n50_train5000_cancel_s1/signed_mnist_expected_mse_s1.json
47,2.432663593441248,0.22314180433750153,0.16875073313713074,0.9958992600440979,0.9992279952889503,6453.3798828125,0.8320000171661377,0.1770000010728836,0.19499999284744263,0.024783569914102556,0.2609621584415436,0.1889999955892563,0.8148148059844971,50,10.0,True,MNIST,data,mse,2,9,5000,runs/server4090_signed_mse_baseline/signed_mse_n50_train5000_cancel_s2/signed_mnist_baseline/mse/MNIST/20260507T025501Z_gpusystem_s2,results/server4090_signed_mse_baseline/signed_mse_n50_train5000_cancel_s2/signed_mnist_expected_mse_s2.json
46,2.3856720440089703,0.2283550649881363,0.15975430607795715,0.995718240737915,0.9991845905076651,6451.9736328125,0.8109999895095825,0.1940000057220459,0.20399999618530273,0.046502317464351656,0.23138661682605743,0.20499999821186066,0.795121967792511,50,10.0,False,MNIST,data,mse,0,9,5000,runs/server4090_signed_mse_baseline/signed_mse_n50_train5000_random_s0/signed_mnist_baseline/mse/MNIST/20260507T024335Z_gpusystem_s0,results/server4090_signed_mse_baseline/signed_mse_n50_train5000_random_s0/signed_mnist_expected_mse_s0.json
47,15.64193519577384,0.2636719346046448,0.20038190484046936,0.9948532581329346,0.9994057464743772,6451.9736328125,0.7900000214576721,0.2199999988079071,0.23999999463558197,0.057874200022220615,0.25623783469200134,0.20499999821186066,0.790243923664093,50,10.0,False,MNIST,data,mse,1,9,5000,runs/server4090_signed_mse_baseline/signed_mse_n50_train5000_random_s1/signed_mnist_baseline/mse/MNIST/20260507T024335Z_gpusystem_s1,results/server4090_signed_mse_baseline/signed_mse_n50_train5000_random_s1/signed_mnist_expected_mse_s1.json
50,9.406168222427368,0.22915448248386383,0.1791464388370514,0.9956781268119812,0.9993909361803448,6453.3798828125,0.8119999766349792,0.19599999487400055,0.21199999749660492,0.039597070395201446,0.21943959593772888,0.20399999618530273,0.813725471496582,50,10.0,False,MNIST,data,mse,2,9,5000,runs/server4090_signed_mse_baseline/signed_mse_n50_train5000_random_s2/signed_mnist_baseline/mse/MNIST/20260507T024335Z_gpusystem_s2,results/server4090_signed_mse_baseline/signed_mse_n50_train5000_random_s2/signed_mnist_expected_mse_s2.json
