best.epoch,best.epoch_seconds,best.hist_count_mae,best.hist_proportion_mae,best.instance_digit_acc,best.loss,best.peak_cuda_mem_mb,best.train_loss,config.bag_size_mean,config.bag_size_std,config.dataset,config.dataset_root,config.experiment,config.loss,config.seed,config.train_bags,run_dir,source
50,0.27001819387078285,0.0784318596124649,0.007836050353944302,0.9733641743659973,0.03908183631300926,1237.84326171875,0.026913752004504205,10,2,MNIST,data,mnist_histogram_llp,kl,1,1000,runs/server4090_histogram_llp/mnist_histogram_llp_kl_n10_train1000_s1/mnist_histogram_llp/kl/MNIST/20260505T073334Z_gpusystem_s1,results/server4090_histogram_llp/mnist_histogram_llp_kl_n10_train1000_s1/mnist_histogram_llp_kl_s1.json
50,61.083482790738344,0.07989661395549774,0.00804127473384142,0.9733695387840271,0.039483860969543455,1238.45361328125,0.027198200449347495,10,2,MNIST,data,mnist_histogram_llp,kl,2,1000,runs/server4090_histogram_llp/mnist_histogram_llp_kl_n10_train1000_s2/mnist_histogram_llp/kl/MNIST/20260505T075641Z_gpusystem_s2,results/server4090_histogram_llp/mnist_histogram_llp_kl_n10_train1000_s2/mnist_histogram_llp_kl_s2.json
44,0.8209724016487598,0.029404567554593086,0.0028963375370949507,0.9891457557678223,0.012727134369313716,1311.884765625,0.008053705328702927,10,2,MNIST,data,mnist_histogram_llp,kl,0,5000,runs/server4090_histogram_llp/mnist_histogram_llp_kl_n10_train5000_s0/mnist_histogram_llp/kl/MNIST/20260505T082510Z_gpusystem_s0,results/server4090_histogram_llp/mnist_histogram_llp_kl_n10_train5000_s0/mnist_histogram_llp_kl_s0.json
48,81.4868728518486,0.029729077592492104,0.002940395614132285,0.9889436364173889,0.014715731106698514,1311.78564453125,0.007929423266649246,10,2,MNIST,data,mnist_histogram_llp,kl,1,5000,runs/server4090_histogram_llp/mnist_histogram_llp_kl_n10_train5000_s1/mnist_histogram_llp/kl/MNIST/20260505T085800Z_gpusystem_s1,results/server4090_histogram_llp/mnist_histogram_llp_kl_n10_train5000_s1/mnist_histogram_llp_kl_s1.json
42,85.08900132775307,0.03163572773337364,0.0031502009369432926,0.9889458417892456,0.014416809849441051,1311.78564453125,0.008781328684091568,10,2,MNIST,data,mnist_histogram_llp,kl,2,5000,runs/server4090_histogram_llp/mnist_histogram_llp_kl_n10_train5000_s2/mnist_histogram_llp/kl/MNIST/20260505T085800Z_gpusystem_s2,results/server4090_histogram_llp/mnist_histogram_llp_kl_n10_train5000_s2/mnist_histogram_llp_kl_s2.json
50,42.020100217312574,0.3848385512828827,0.007872214540839195,0.9614240527153015,0.007888219237327576,5998.55078125,0.008136696822941302,50,10,MNIST,data,mnist_histogram_llp,kl,0,1000,runs/server4090_histogram_llp/mnist_histogram_llp_kl_n50_train1000_s0/mnist_histogram_llp/kl/MNIST/20260505T100750Z_gpusystem_s0,results/server4090_histogram_llp/mnist_histogram_llp_kl_n50_train1000_s0/mnist_histogram_llp_kl_s0.json
50,0.7804122939705849,0.393289178609848,0.008031988516449928,0.9612585306167603,0.008234779577702285,5998.55078125,0.008153559640049934,50,10,MNIST,data,mnist_histogram_llp,kl,1,1000,runs/server4090_histogram_llp/mnist_histogram_llp_kl_n50_train1000_s1/mnist_histogram_llp/kl/MNIST/20260505T104939Z_gpusystem_s1,results/server4090_histogram_llp/mnist_histogram_llp_kl_n50_train1000_s1/mnist_histogram_llp_kl_s1.json
50,5.5594762191176414,0.3485237658023834,0.007129652891308069,0.9693650007247925,0.006765731003135443,5998.55078125,0.006823856621980667,50,10,MNIST,data,mnist_histogram_llp,kl,2,1000,runs/server4090_histogram_llp/mnist_histogram_llp_kl_n50_train1000_s2/mnist_histogram_llp/kl/MNIST/20260505T112849Z_gpusystem_s2,results/server4090_histogram_llp/mnist_histogram_llp_kl_n50_train1000_s2/mnist_histogram_llp_kl_s2.json
46,1.997507892549038,0.1844535917043686,0.003748571267351508,0.9873959422111511,0.0025917331203818323,6452.484375,0.0024038709715008735,50,10,MNIST,data,mnist_histogram_llp,kl,0,5000,runs/server4090_histogram_llp/mnist_histogram_llp_kl_n50_train5000_s0/mnist_histogram_llp/kl/MNIST/20260505T112849Z_gpusystem_s0,results/server4090_histogram_llp/mnist_histogram_llp_kl_n50_train5000_s0/mnist_histogram_llp_kl_s0.json
47,137.97299326211214,0.18318325281143188,0.0037103586364537477,0.9881182312965393,0.0025613179933279755,6452.484375,0.002128050722181797,50,10,MNIST,data,mnist_histogram_llp,kl,1,5000,runs/server4090_histogram_llp/mnist_histogram_llp_kl_n50_train5000_s1/mnist_histogram_llp/kl/MNIST/20260505T120756Z_gpusystem_s1,results/server4090_histogram_llp/mnist_histogram_llp_kl_n50_train5000_s1/mnist_histogram_llp_kl_s1.json
47,150.20109178870916,0.1839098483324051,0.0037326584570109844,0.9884817004203796,0.0026193872038275004,6452.484375,0.002319907696545124,50,10,MNIST,data,mnist_histogram_llp,kl,2,5000,runs/server4090_histogram_llp/mnist_histogram_llp_kl_n50_train5000_s2/mnist_histogram_llp/kl/MNIST/20260505T140001Z_gpusystem_s2,results/server4090_histogram_llp/mnist_histogram_llp_kl_n50_train5000_s2/mnist_histogram_llp_kl_s2.json
50,0.33493344858288765,0.18089517951011658,0.018375424668192863,0.9533668160438538,0.0008817646433599293,1237.60546875,0.0009036604100838303,10,2,MNIST,data,mnist_histogram_llp,mse,0,1000,runs/server4090_histogram_llp/mnist_histogram_llp_mse_n10_train1000_s0/mnist_histogram_llp/mse/MNIST/20260505T073334Z_gpusystem_s0,results/server4090_histogram_llp/mnist_histogram_llp_mse_n10_train1000_s0/mnist_histogram_llp_mse_s0.json
