best.epoch,best.epoch_seconds,best.hist_count_mae,best.hist_exact_acc,best.hist_proportion_mae,best.instance_acc,best.loss,best.peak_cuda_mem_mb,best.train_loss,config.bag_size_mean,config.bag_size_std,config.dataset,config.dataset_root,config.experiment,config.label_level,config.num_classes,config.objective,config.seed,config.train_bags,run_dir,source
20,5.4234643038362265,1.274999976158142,0.0,0.026486963033676147,0.29185765981674194,0.2454358240365982,3897.966796875,0.19176848411560057,50,10,CIFAR100,data,cifar_histogram,coarse,20,kl,1,1000,runs/serverA5000_cifar100_hist_remaining/cifar100_coarse_hist_kl_n50_train1000_s1/cifar_histogram/kl/CIFAR100_coarse/20260505T093930Z_gpusystem_s1,results/serverA5000_cifar100_hist_remaining/cifar100_coarse_hist_kl_n50_train1000_s1/cifar_histogram_kl_s1.json
7,5.4528409242630005,1.1983000040054321,0.0,0.025071872398257256,0.11027342081069946,0.0010006052521057426,3897.96826171875,0.0009830351481214165,50,10,CIFAR100,data,cifar_histogram,coarse,20,mse,1,1000,runs/serverA5000_cifar100_hist_remaining/cifar100_coarse_hist_mse_n50_train1000_s1/cifar_histogram/mse/CIFAR100_coarse/20260505T093930Z_gpusystem_s1,results/serverA5000_cifar100_hist_remaining/cifar100_coarse_hist_mse_n50_train1000_s1/cifar_histogram_mse_s1.json
