best.bag_acc,best.bag_auc,best.count_acc,best.count_mae,best.epoch,best.epoch_seconds,best.expected_signed_count_mae,best.expected_sum_mae,best.instance_acc,best.instance_auc,best.instance_digit_acc,best.nll,best.peak_cuda_mem_mb,best.signed_count_acc,best.signed_count_mae,best.sum_acc,best.sum_mae,best.train_nll,best.zero_expected_abs_error,best.zero_fraction,best.zero_signed_count_acc,config.bag_size_mean,config.bag_size_std,config.balanced_binary,config.cancellation_heavy,config.dataset,config.dataset_root,config.em_temperature,config.entropy_weight,config.experiment,config.method,config.objective,config.seed,config.target_digit,config.train_bags,run_dir,source
,,,,49,4.743475940078497,,2.571753978729248,,,0.7877057790756226,2.6100171127319336,6453.03955078125,,,0.12300000339746475,2.6570000648498535,2.3360250511169434,,,,50,10,,,MNIST,data,,,mnist_digit_sum,finite_support_conv,,2,,5000,runs/neurips_pilot_preleave_20260504_1619_bs192/digit_sum_n50_train5000_s2/mnist_digit_sum/conv/MNIST/20260505T051832Z_gpusystem_s2,results/neurips_pilot_preleave_20260504_1619/digit_sum_n50_train5000_s2/mnist_digit_sum_conv_s2.json
0.949999988079071,0.999956,0.8769999742507935,0.12800000607967377,25,31.782624181360006,,,0.9874371886253357,0.9985915442235667,,0.33401046943664553,431.9638671875,,,,,0.019367693200707435,,,,10,2,True,,MNIST,data,0.5,0.01,mnist_bags,conv,hard_em,0,9,1000,runs/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n10_train1000_s0/mnist_bags/conv_hard_em/MNIST/20260504T163350Z_gpusystem_s0,results/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n10_train1000_s0/mnist_bags_conv_hard_em_s0.json
0.9890000224113464,0.9993,0.9100000262260437,0.10000000149011612,35,29.962349865585566,,,0.9897477030754089,0.9992561183717639,,0.3208706932067871,431.3544921875,,,,,0.005798667266964912,,,,10,2,True,,MNIST,data,0.5,0.01,mnist_bags,conv,hard_em,1,9,1000,runs/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n10_train1000_s1/mnist_bags/conv_hard_em/MNIST/20260504T165706Z_gpusystem_s1,results/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n10_train1000_s1/mnist_bags_conv_hard_em_s1.json
0.9729999899864197,0.99994,0.8989999890327454,0.10599999874830246,47,25.193170815706253,,,0.9885438680648804,0.9980579086584339,,0.36747978782653806,432.787109375,,,,,0.005918566711246968,,,,10,2,True,,MNIST,data,0.5,0.01,mnist_bags,conv,hard_em,2,9,1000,runs/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n10_train1000_s2/mnist_bags/conv_hard_em/MNIST/20260504T174455Z_gpusystem_s2,results/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n10_train1000_s2/mnist_bags_conv_hard_em_s2.json
0.9599999785423279,0.999992,0.9190000295639038,0.08399999886751175,13,87.69876044988632,,,0.991959810256958,0.9996357060542453,,0.2480168619155884,455.41650390625,,,,,0.007269101652130484,,,,10,2,True,,MNIST,data,0.5,0.01,mnist_bags,conv,hard_em,0,9,5000,runs/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n10_train5000_s0/mnist_bags/conv_hard_em/MNIST/20260504T180841Z_gpusystem_s0,results/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n10_train5000_s0/mnist_bags_conv_hard_em_s0.json
0.9909999966621399,0.999852,0.921999990940094,0.0860000029206276,49,94.85026062652469,,,0.9917579889297485,0.9997868975276784,,0.3100350260734558,455.63134765625,,,,,0.000810885991761461,,,,10,2,True,,MNIST,data,0.5,0.01,mnist_bags,conv,hard_em,1,9,5000,runs/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n10_train5000_s1/mnist_bags/conv_hard_em/MNIST/20260504T194207Z_gpusystem_s1,results/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n10_train5000_s1/mnist_bags_conv_hard_em_s1.json
0.9879999756813049,0.999964,0.9150000214576721,0.09099999815225601,9,88.51345124840736,,,0.9907547235488892,0.9992980194089596,,0.24690740013122559,455.49462890625,,,,,0.017415161219239236,,,,10,2,True,,MNIST,data,0.5,0.01,mnist_bags,conv,hard_em,2,9,5000,runs/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n10_train5000_s2/mnist_bags/conv_hard_em/MNIST/20260504T205205Z_gpusystem_s2,results/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n10_train5000_s2/mnist_bags_conv_hard_em_s2.json
0.9089999794960022,1.0,0.6230000257492065,0.5870000123977661,24,39.835234466940165,,,0.9883005619049072,0.9986034806639733,,1.3219562072753905,2018.04248046875,,,,,0.02402464161813259,,,,50,10,True,,MNIST,data,0.5,0.01,mnist_bags,conv,hard_em,0,9,1000,runs/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n50_train1000_s0/mnist_bags/conv_hard_em/MNIST/20260504T231243Z_gpusystem_s0,results/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n50_train1000_s0/mnist_bags_conv_hard_em_s0.json
0.9399999976158142,0.999936,0.6520000100135803,0.5519999861717224,39,32.66019420698285,,,0.9899678230285645,0.9993997789318674,,1.2589680671691894,2018.802734375,,,,,0.011345351845026016,,,,50,10,True,,MNIST,data,0.5,0.01,mnist_bags,conv,hard_em,1,9,1000,runs/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n50_train1000_s1/mnist_bags/conv_hard_em/MNIST/20260504T233736Z_gpusystem_s1,results/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n50_train1000_s1/mnist_bags_conv_hard_em_s1.json
0.8989999890327454,0.999964,0.5809999704360962,0.7480000257492065,46,34.3135421872139,,,0.985466480255127,0.9976869433829656,,1.790285442352295,5998.01220703125,,,,,0.028444401800632478,,,,50,10,True,,MNIST,data,0.5,0.01,mnist_bags,conv,hard_em,2,9,1000,runs/neurips_pilot_preleave_20260504_1619_bs192/posterior_hard_em_n50_train1000_s2/mnist_bags/conv_hard_em/MNIST/20260505T002941Z_gpusystem_s2,results/neurips_pilot_preleave_20260504_1619/posterior_hard_em_n50_train1000_s2/mnist_bags_conv_hard_em_s2.json
