best.bag_acc,best.bag_auc,best.bag_bce,best.count_acc,best.count_mae,best.epoch,best.epoch_seconds,best.expected_signed_count_mae,best.expected_sum_mae,best.hist_count_mae,best.hist_proportion_mae,best.instance_acc,best.instance_auc,best.instance_digit_acc,best.loss,best.nll,best.peak_cuda_mem_mb,best.signed_count_acc,best.signed_count_mae,best.sum_acc,best.sum_mae,best.train_bce,best.train_loss,best.train_nll,best.zero_expected_abs_error,best.zero_fraction,best.zero_signed_count_acc,config.bag_size_mean,config.bag_size_std,config.balanced_binary,config.cancellation_heavy,config.dataset,config.dataset_root,config.em_temperature,config.entropy_weight,config.experiment,config.gated,config.loss,config.method,config.objective,config.seed,config.target_digit,config.train_bags,run_dir,source
,,,,,26,2.8044560672715306,,7.86045503616333,,,,,0.40942904353141785,,3.6955467681884766,2065.21484375,,,0.04100000113248825,7.815000057220459,,,3.7048941078186037,,,,50,10,,,FashionMNIST,data,,,fashionmnist_digit_sum,,,finite_support_conv,,1,,1000,runs/serverA5000_fashion/fashion_digit_sum_n50_train1000_s1/mnist_digit_sum/conv/FashionMNIST/20260505T071750Z_gpusystem_s1,results/serverA5000_fashion/fashion_digit_sum_n50_train1000_s1/mnist_digit_sum_conv_s1.json
0.9819999933242798,0.998852,0.06259781801700592,,,27,23.241660320200026,,,,,,0.6586341420751534,,,,387.99462890625,,,,,0.024824714379385115,,,,,,10,2,True,,FashionMNIST,data,,,fashionmnist_attention,True,,gated_attention,,0,9,1000,runs/serverA5000_fashion/fashion_gated_attention_n10_train1000_s0/mnist_bags/gated_attention/FashionMNIST/20260505T055941Z_gpusystem_s0,results/serverA5000_fashion/fashion_gated_attention_n10_train1000_s0/mnist_bags_gated_attention_s0.json
0.9729999899864197,0.996912,0.1042399708032608,,,30,1.9235123908147216,,,,,,0.7854844751519188,,,,389.04443359375,,,,,0.05284061522036791,,,,,,10,2,True,,FashionMNIST,data,,,fashionmnist_attention,True,,gated_attention,,1,9,1000,runs/serverA5000_fashion/fashion_gated_attention_n10_train1000_s1/mnist_bags/gated_attention/FashionMNIST/20260505T062415Z_gpusystem_s1,results/serverA5000_fashion/fashion_gated_attention_n10_train1000_s1/mnist_bags_gated_attention_s1.json
0.9879999756813049,0.999024,0.04658522067219019,,,30,2.327121806330979,,,,,,0.6407715149028513,,,,2067.26416015625,,,,,0.014157842755317687,,,,,,50,10,True,,FashionMNIST,data,,,fashionmnist_attention,True,,gated_attention,,0,9,1000,runs/serverA5000_fashion/fashion_gated_attention_n50_train1000_s0/mnist_bags/gated_attention/FashionMNIST/20260505T064728Z_gpusystem_s0,results/serverA5000_fashion/fashion_gated_attention_n50_train1000_s0/mnist_bags_gated_attention_s0.json
0.9819999933242798,0.997708,0.06559534531831741,,,30,35.41020803526044,,,,,,0.7884122655019509,,,,2066.58447265625,,,,,0.024012232357636096,,,,,,50,10,True,,FashionMNIST,data,,,fashionmnist_attention,True,,gated_attention,,1,9,1000,runs/serverA5000_fashion/fashion_gated_attention_n50_train1000_s1/mnist_bags/gated_attention/FashionMNIST/20260505T070116Z_gpusystem_s1,results/serverA5000_fashion/fashion_gated_attention_n50_train1000_s1/mnist_bags_gated_attention_s1.json
,,,,,30,24.111133622005582,,,0.318195641040802,0.03243745490908623,,,0.8206030130386353,0.1827935287952423,,387.4462890625,,,,,,0.175422878742218,,,,,10,2,,,FashionMNIST,data,,,fashionmnist_histogram_llp,,kl,,,0,,1000,runs/serverA5000_fashion/fashion_histogram_llp_kl_n10_train1000_s0/mnist_histogram_llp/kl/FashionMNIST/20260505T061206Z_gpusystem_s0,results/serverA5000_fashion/fashion_histogram_llp_kl_n10_train1000_s0/mnist_histogram_llp_kl_s0.json
,,,,,29,24.400296218693256,,,0.32456883788108826,0.03310775384306908,,,0.81626296043396,0.185231658577919,,385.50927734375,,,,,,0.17218067288398742,,,,,10,2,,,FashionMNIST,data,,,fashionmnist_histogram_llp,,kl,,,1,,1000,runs/serverA5000_fashion/fashion_histogram_llp_kl_n10_train1000_s1/mnist_histogram_llp/kl/FashionMNIST/20260505T062415Z_gpusystem_s1,results/serverA5000_fashion/fashion_histogram_llp_kl_n10_train1000_s1/mnist_histogram_llp_kl_s1.json
,,,,,30,20.214056410826743,,,0.8995686173439026,0.018503470346331596,,,0.7793993353843689,0.03649274528026581,,2065.28271484375,,,,,,0.03583402107656002,,,,,50,10,,,FashionMNIST,data,,,fashionmnist_histogram_llp,,kl,,,0,,1000,runs/serverA5000_fashion/fashion_histogram_llp_kl_n50_train1000_s0/mnist_histogram_llp/kl/FashionMNIST/20260505T064728Z_gpusystem_s0,results/serverA5000_fashion/fashion_histogram_llp_kl_n50_train1000_s0/mnist_histogram_llp_kl_s0.json
,,,,,29,25.823962486349046,,,0.9059157967567444,0.018621008843183517,,,0.7821471691131592,0.03688118770718574,,2064.95703125,,,,,,0.036133959412574766,,,,,50,10,,,FashionMNIST,data,,,fashionmnist_histogram_llp,,kl,,,1,,1000,runs/serverA5000_fashion/fashion_histogram_llp_kl_n50_train1000_s1/mnist_histogram_llp/kl/FashionMNIST/20260505T071750Z_gpusystem_s1,results/serverA5000_fashion/fashion_histogram_llp_kl_n50_train1000_s1/mnist_histogram_llp_kl_s1.json
,,,,,30,0.545441122725606,0.1276123821735382,,,,0.9891457557678223,0.9978850502136143,,,0.2533411884307861,387.2802734375,0.8980000019073486,0.10300000011920929,,,,,0.13993798804283142,0.09883315861225128,0.4779999852180481,0.9288703203201294,10,2,,True,FashionMNIST,data,,,fashionmnist_signed,,,signed_conv_countmil,,0,9,1000,runs/serverA5000_fashion/fashion_signed_cancel_n10_train1000_s0/signed_mnist/conv/FashionMNIST/20260505T061206Z_gpusystem_s0,results/serverA5000_fashion/fashion_signed_cancel_n10_train1000_s0/signed_mnist_conv_s0.json
,,,,,29,14.633143019862473,0.13892318308353424,,,,0.9888430833816528,0.9978332002262372,,,0.2756278896331787,385.6982421875,0.8960000276565552,0.10499999672174454,,,,,0.1759116668701172,0.09663789719343185,0.47699999809265137,0.9266247153282166,10,2,,True,FashionMNIST,data,,,fashionmnist_signed,,,signed_conv_countmil,,1,9,1000,runs/serverA5000_fashion/fashion_signed_cancel_n10_train1000_s1/signed_mnist/conv/FashionMNIST/20260505T063608Z_gpusystem_s1,results/serverA5000_fashion/fashion_signed_cancel_n10_train1000_s1/signed_mnist_conv_s1.json
,,,,,29,1.5186966201290488,0.4057197868824005,,,,0.98996901512146,0.9982050607426831,,,0.8045588645935059,2065.06591796875,0.6589999794960022,0.3659999966621399,,,,,0.6068775420188903,0.36105266213417053,0.1889999955892563,0.7142857313156128,50,10,,True,FashionMNIST,data,,,fashionmnist_signed,,,signed_conv_countmil,,0,9,1000,runs/serverA5000_fashion/fashion_signed_cancel_n50_train1000_s0/signed_mnist/conv/FashionMNIST/20260505T070116Z_gpusystem_s0,results/serverA5000_fashion/fashion_signed_cancel_n50_train1000_s0/signed_mnist_conv_s0.json
,,,,,14,32.47928615938872,1.5317909717559814,,,,0.10514676570892334,0.9939062789078809,,,2.1509581146240233,2064.740234375,0.21199999749660492,1.5360000133514404,,,,,2.0769688568115234,0.6294324994087219,0.1889999955892563,0.43915343284606934,50,10,,True,FashionMNIST,data,,,fashionmnist_signed,,,signed_conv_countmil,,1,9,1000,runs/serverA5000_fashion/fashion_signed_cancel_n50_train1000_s1/signed_mnist/conv/FashionMNIST/20260505T071750Z_gpusystem_s1,results/serverA5000_fashion/fashion_signed_cancel_n50_train1000_s1/signed_mnist_conv_s1.json
,,,,,27,22.698021409101784,0.14163601398468018,,,,0.9877386689186096,0.9977224742000523,,,0.2726708326339722,386.93896484375,0.8849999904632568,0.11599999666213989,,,,,0.16052801120281218,0.12106616795063019,0.4729999899864197,0.9069767594337463,10,2,,False,FashionMNIST,data,,,fashionmnist_signed,,,signed_conv_countmil,,0,9,1000,runs/serverA5000_fashion/fashion_signed_random_n10_train1000_s0/signed_mnist/conv/FashionMNIST/20260505T061206Z_gpusystem_s0,results/serverA5000_fashion/fashion_signed_random_n10_train1000_s0/signed_mnist_conv_s0.json
,,,,,29,22.761530429124832,0.14065079391002655,,,,0.9889436364173889,0.99762939399073,,,0.2835180082321167,385.6982421875,0.8899999856948853,0.11100000143051147,,,,,0.17244025057554244,0.09564826637506485,0.4729999899864197,0.9238900542259216,10,2,,False,FashionMNIST,data,,,fashionmnist_signed,,,signed_conv_countmil,,1,9,1000,runs/serverA5000_fashion/fashion_signed_random_n10_train1000_s1/signed_mnist/conv/FashionMNIST/20260505T063608Z_gpusystem_s1,results/serverA5000_fashion/fashion_signed_random_n10_train1000_s1/signed_mnist_conv_s1.json
,,,,,29,1.4869962688535452,0.42062246799468994,,,,0.990471601486206,0.997864271648103,,,0.8144853477478027,2065.06591796875,0.6539999842643738,0.3799999952316284,,,,,0.6403178024291992,0.3982076644897461,0.17399999499320984,0.6666666865348816,50,10,,False,FashionMNIST,data,,,fashionmnist_signed,,,signed_conv_countmil,,0,9,1000,runs/serverA5000_fashion/fashion_signed_random_n50_train1000_s0/signed_mnist/conv/FashionMNIST/20260505T064728Z_gpusystem_s0,results/serverA5000_fashion/fashion_signed_random_n50_train1000_s0/signed_mnist_conv_s0.json
,,,,,30,1.850305637344718,0.4422098398208618,,,,0.9888620972633362,0.997981091026459,,,0.875306453704834,2064.740234375,0.6549999713897705,0.382999986410141,,,,,0.6805081696510314,0.39964666962623596,0.17399999499320984,0.6724137663841248,50,10,,False,FashionMNIST,data,,,fashionmnist_signed,,,signed_conv_countmil,,1,9,1000,runs/serverA5000_fashion/fashion_signed_random_n50_train1000_s1/signed_mnist/conv/FashionMNIST/20260505T071750Z_gpusystem_s1,results/serverA5000_fashion/fashion_signed_random_n50_train1000_s1/signed_mnist_conv_s1.json
