method,seeds,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,log_loss_mean,log_loss_sd,brier_mean,brier_sd,ece_15_mean,ece_15_sd,accuracy_0p5_mean,accuracy_0p5_sd
group_prior,3,0.6968682477186263,0.0025900653905455455,0.48665625820644703,0.0047027312468211,0.5407962386608594,0.0005344366149394505,0.18068502843379974,0.00016268873853691012,0.004260829882696271,0.00046053154458418317,0.7391104300816854,0.00027148073406434045
dllp_bce,3,0.7521641245219683,0.0011487879755059983,0.5507460555034044,0.003377215527716388,0.517104445060447,0.0014881114010210292,0.1700121114651362,0.00032231930372946405,0.030071230605244637,0.0030628498344329844,0.7511598865191141,0.0006856980206969666
dllp_mse,3,0.7471701412349633,0.001157499791343052,0.5428609982163776,0.0035537674405404424,0.5262983218728913,0.003146237802047331,0.17241598665714264,0.0009452707376543607,0.0395399642487367,0.002852238098475228,0.7486494779586792,0.0008628585839667056
easyllp,3,0.6904388488897396,0.005806057730855904,0.42109951415803515,0.006435083077700836,4.945437110383472,0.17149710783172584,0.3276750445365906,0.010627550853396396,0.32711872458457947,0.01061931133696811,0.6697791814804077,0.010645911985618492
genbags,3,0.7463381327531042,0.001159604080897183,0.540449028298196,0.004484017523805169,0.5303513972043362,0.0017796210974435128,0.17266522347927094,0.00015374052142416679,0.042235015581051506,0.0009586111386542161,0.7482239603996277,0.0006455032887566356
ot_llp,3,0.6524435707298525,0.0027402791217931897,0.42598565303393027,0.0008643172193325495,2.7261362363423562,0.11668224187134597,0.298197199900945,0.0009007421528357109,0.29095184803009033,0.001089779633157933,0.6792421936988831,0.0019697198710472716
fsconv,3,0.7490710823304374,0.0004204496759207698,0.5456251707980688,0.0029942443408136283,0.5175458003067952,0.0011365959146925583,0.17053924004236856,0.0002469169218687388,0.025433278332153957,0.0038119605570689974,0.750069797039032,0.0003507537003761226
supervised_oracle,3,0.7881571790769285,0.0011391367592619467,0.6041649246557906,0.0021987741624864155,0.48267252049866144,0.00016752534953156647,0.1583244353532791,0.00011581154583286538,0.014196152177949747,0.0016761076475991902,0.7688677112261454,0.0006747824758970755
