method,seeds,count_mae_mean,count_mae_sd,rounded_acc_mean,rounded_acc_sd,pmf_mode_acc_mean,pmf_mode_acc_sd,nll_mean,nll_sd
group_prior,3,5.7980624834696455,0.020971638529796097,0.0708666667342186,0.0036295064934942444,0.07019999871651332,0.002622974930698175,3.976205269495646,0.02005499615503543
dllp_bce,3,4.638032118479411,0.04768600941466589,0.07353333383798599,0.0028307858146253387,0.0728000005086263,0.0019078806290911967,3.2844576040903726,0.012084134913947853
dllp_mse,3,4.59478775660197,0.03629278893602519,0.07653333246707916,0.005485740407461963,0.07626666625340779,0.005686239778892557,3.29750927289327,0.028830112798574916
easyllp,3,36.49319203694662,1.5612479256255571,0.004333333345130086,0.000986576635056375,0.004333333345130086,0.0008326663461291377,26.8902161916097,0.14415797955391188
genbags,3,4.933371861775716,0.3350628930762764,0.06633333365122478,0.00692916672531327,0.0689999982714653,0.005141985171014146,3.4803945223490396,0.15210505961107068
ot_llp,3,5.818936030069987,0.07080811854252898,0.05700000002980232,0.0043588979487395344,0.05613333359360695,0.004309679458841567,8.86928939819336,0.47808766285764487
fsconv,3,4.638113180796306,0.07930152816535527,0.07699999958276749,0.0036715091630226,0.07886666556199391,0.0018147515360987035,3.2837767601013184,0.03557856357855087
supervised_oracle,3,4.799248854319255,0.09158363901298971,0.06859999895095825,0.003736307973773257,0.06686666856209438,0.00305505258991599,3.338258981704712,0.024611650777772772
