aggregate_nll_mean,aggregate_nll_sd,bag_size_mean,cancellation_heavy,expected_aggregate_mae_mean,expected_aggregate_mae_sd,gaussian_nll_mean,gaussian_nll_sd,instance_acc_mean,instance_acc_sd,instance_auc_mean,instance_auc_sd,method,mode_aggregate_acc_mean,mode_aggregate_acc_sd,mode_aggregate_mae_mean,mode_aggregate_mae_sd,rounded_expected_acc_mean,rounded_expected_acc_sd,rounded_expected_mae_mean,rounded_expected_mae_sd,seeds,task,train_bags
0.670356810092926,0.03917454190859845,10,,0.7039164503415426,0.028669216122165424,,,0.9822445710500082,0.0003064577453094054,,,FS-Conv,0.8463333447774252,0.001527505565370602,0.6120000084241232,0.00793724185796158,0.7556666731834412,0.028290162757679264,0.6756666700045267,0.027061641068673044,3,digit_sum,1000
,,10,,1.6678547859191895,0.2210266388517375,1.3848476807276409,0.04167087203421119,0.7906227707862854,0.06151778092518034,,,Gaussian-AMLE,0.2683333357175191,0.061092833660568266,1.6349999904632568,0.2227914139752385,0.2683333357175191,0.061092833660568266,1.6349999904632568,0.2227914139752385,3,digit_sum,1000
,,10,,2.860647757848104,0.15233311217974213,,,0.21383749941984811,0.02913503814635114,,,MSE,,,,,0.10666666676600774,0.005033225755563787,2.8423333168029785,0.14797409524471286,3,digit_sum,1000
0.3376939694086711,0.026110759491099873,10,False,0.10900455464919408,0.011070934609411423,,,0.9900837540626526,0.0008777521269223527,0.9948918304635351,0.0012133803028930672,FS-Conv,0.9073333541552225,0.011060447610247012,0.09500000129143397,0.010148893412157115,0.9076666633288065,0.009018502360803196,0.09400000174840291,0.008185353885998066,3,signed,1000
0.2656575342019399,0.02955680863782916,10,True,0.07915050039688747,0.0066126328249656785,,,0.9922948082288107,0.0002532433600371313,0.9978000449050916,7.337882624487422e-05,FS-Conv,0.9299999872843424,0.0062449844072207,0.07099999984105428,0.006244995144628262,0.9310000141461691,0.007549828024673458,0.07000000029802322,0.007549834932645111,3,signed,1000
,,10,False,0.23408740758895874,0.02279035934036357,-0.6949395338694254,0.07149159297688648,0.9828141132990519,0.0019763801843984967,0.9918165634592521,0.001391878254986027,Gaussian-AMLE,0.8509999910990397,0.01212433720774401,0.15333333114782968,0.012741009992855762,0.8509999910990397,0.01212433720774401,0.15333333114782968,0.012741009992855762,3,signed,1000
,,10,True,0.21156607071558634,0.024230223523118932,-0.7130315701166788,0.14000112059814146,0.982713540395101,0.00248872223704185,0.9913051999033723,0.002123892164905376,Gaussian-AMLE,0.8476666808128357,0.019347687529519507,0.15466666718324026,0.019655364773199086,0.8476666808128357,0.019347687529519507,0.15466666718324026,0.019655364773199086,3,signed,1000
,,10,False,0.32957570254802704,0.2582767416836839,,,0.9585258960723877,0.05174462435048316,0.973101550488621,0.03321997882125896,MSE,0.7533333400885264,0.23764329452916524,0.2689999962846438,0.27285343629809383,0.7533333400885264,0.23764329452916524,0.2689999962846438,0.27285343629809383,3,signed,1000
,,10,True,0.13070865720510483,0.009727438188760621,,,0.9908543030420939,0.0008223489717651026,0.9961394264311613,0.0008384287797213749,MSE,0.9180000027020773,0.009539406660104248,0.08300000180800755,0.010440306257710813,0.9180000027020773,0.009539406660104248,0.08300000180800755,0.010440306257710813,3,signed,1000
