bag_size,batch,device,max_abs_err_vs_cpu_dp,method,num_classes,peak_cuda_mem_mb,seconds
64,256,cpu,0.0,cpu_dp,10,0.0,8.24579275896152
64,256,cuda,3.427267074584961e-07,gpu_fft_tree,10,13.759765625,0.000970338781674703
128,256,cpu,0.0,cpu_dp,10,0.0,17.23000421995918
128,256,cuda,4.172325134277344e-07,gpu_fft_tree,10,28.59375,0.0009717283149560293
256,256,cpu,0.0,cpu_dp,10,0.0,36.78508681307236
256,256,cuda,5.066394805908203e-07,gpu_fft_tree,10,55.634765625,0.0012092950443426769
512,256,cpu,0.0,cpu_dp,10,0.0,54.03993531689048
512,256,cuda,6.593763828277588e-07,gpu_fft_tree,10,113.322265625,0.001336757093667984
