method,seeds,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,log_loss_mean,log_loss_sd,brier_mean,brier_sd,ece_15_mean,ece_15_sd
dllp_bce,3,0.7521641245219683,0.0011487879755059983,0.5507460555034044,0.003377215527716388,0.517104445060447,0.0014881114010210292,0.1700121114651362,0.00032231930372946405,0.030071230605244637,0.0030628498344329844
dllp_mse,3,0.7471701412349633,0.001157499791343052,0.5428609982163776,0.0035537674405404424,0.5262983218728913,0.003146237802047331,0.17241598665714264,0.0009452707376543607,0.0395399642487367,0.002852238098475228
easyllp,3,0.6904388488897396,0.005806057730855904,0.42109951415803515,0.006435083077700836,4.945437110383472,0.17149710783172584,0.3276750445365906,0.010627550853396396,0.32711872458457947,0.01061931133696811
fsconv,3,0.7490710823304374,0.0004204496759207698,0.5456251707980688,0.0029942443408136283,0.5175458003067952,0.0011365959146925583,0.17053924004236856,0.0002469169218687388,0.025433278332153957,0.0038119605570689974
