run_type,seed,status,path,run_dir,lr,selected_epoch,instance_acc,count_mae,composite_nll
strictv3_matched_adapter,0,COMPLETED,results/rebuttal/4090_strictv3/cifar_fixed/cifar10_official_llp_pvc_s0.json,results/rebuttal/4090_strictv3/cifar_fixed/runs/cifar10_official_llp_pvc_s0_strictv3_train_holdout_val_official_test_no_hidden_val_0e9ca3e757cc_be75f6f1_20260726T145724Z,0.0005,5,0.5087684392929077,6.141299724578857,6.091491222381592
strictv3_matched_adapter,1,COMPLETED,results/rebuttal/4090_strictv3/cifar_fixed/cifar10_official_llp_pvc_s1.json,results/rebuttal/4090_strictv3/cifar_fixed/runs/cifar10_official_llp_pvc_s1_strictv3_train_holdout_val_official_test_no_hidden_val_6b95884b99e3_be75f6f1_20260726T145452Z,0.0005,2,0.13547611236572266,7.090000152587891,6.873046875
strictv3_matched_adapter,2,COMPLETED,results/rebuttal/4090_strictv3/cifar_fixed/cifar10_official_llp_pvc_s2.json,results/rebuttal/4090_strictv3/cifar_fixed/runs/cifar10_official_llp_pvc_s2_strictv3_train_holdout_val_official_test_no_hidden_val_c84214c39c63_be75f6f1_20260726T145314Z,0.0005,3,0.28279590606689453,6.823800086975098,6.772536754608154
native_upstream_cifar10_random_b64_e10,999,FAILED_IMPORT_MISSING_MLclf,results/rebuttal/llppvc_sanity/native_stdout/cifar10_random_b64_e10_s999.log,results/rebuttal/llppvc_sanity/native_runs/cifar10_random_b64_e10_s999,0.0025,,,,
