atom_type,backward,batch,device,max_abs_err_vs_dp,method,n_atoms,num_groups,peak_cuda_mem_mb,seconds,support_width
binary,False,32,cpu,0.0,dp,8,,0.0,0.00049610435962677,9
binary,False,32,cpu,0.0,conv,8,,0.0,0.00022032856941223145,9
ordinal_10,False,32,cpu,,conv,8,,0.0,0.0011929422616958618,73
signed_binary_grouped,False,32,cpu,,grouped_conv,8,4,0.0,0.002034652978181839,5
binary,False,32,cpu,0.0,dp,16,,0.0,0.0007256455719470978,17
binary,False,32,cpu,0.0,conv,16,,0.0,0.0005385316908359528,17
ordinal_10,False,32,cpu,,conv,16,,0.0,0.0023070387542247772,145
signed_binary_grouped,False,32,cpu,,grouped_conv,16,4,0.0,0.0012953504920005798,9
