best.epoch,best.epoch_seconds,best.hist_count_mae,best.hist_exact_acc,best.hist_proportion_mae,best.instance_acc,best.loss,best.peak_cuda_mem_mb,best.train_loss,config.backbone,config.bag_size_mean,config.bag_size_std,config.dataset,config.dataset_root,config.experiment,config.label_level,config.num_classes,config.objective,config.pretrained,config.seed,config.train_bags,run_dir,source
14,4.472617765888572,2.676100015640259,0.0,0.02094215899705887,0.46037501096725464,0.035083978444337846,660.75830078125,0.009683441802859306,resnet18,128,0,CIFAR10,data,cifar_histogram,coarse,10,kl,False,1,1000,runs/serverA5000_cifar10_resnet18_remaining/cifar10_coarse_hist_kl_n128_train1000_s1/cifar_histogram/kl/CIFAR10_coarse/20260505T125137Z_gpusystem_s1,results/serverA5000_cifar10_resnet18_remaining/cifar10_coarse_hist_kl_n128_train1000_s1/cifar_histogram_kl_s1.json
2,4.589135982096195,2.7908999919891357,0.0,0.02198578231036663,0.20338281989097595,0.0007513001814950257,660.75830078125,0.0007071394817903638,resnet18,128,0,CIFAR10,data,cifar_histogram,coarse,10,mse,False,1,1000,runs/serverA5000_cifar10_resnet18_remaining/cifar10_coarse_hist_mse_n128_train1000_s1/cifar_histogram/mse/CIFAR10_coarse/20260505T125137Z_gpusystem_s1,results/serverA5000_cifar10_resnet18_remaining/cifar10_coarse_hist_mse_n128_train1000_s1/cifar_histogram_mse_s1.json
